Plot,Date,Count,Type
Plot #15 ,8/14/1991,0,H-(DELS)
Plot #15 ,8/15/1991,1,H-(DELS)
Plot #15 ,8/16/1991,1,H-(DELS)
Plot #15 ,8/17/1991,0,H-(DELS)
Plot #15 ,8/18/1991,0,H-(DELS)
Plot #15 ,8/19/1991,2,H-(DELS)
Plot #15 ,8/20/1991,0,H-(DELS)
Plot #15 ,8/21/1991,1,H-(DELS)
Plot #15 ,8/22/1991,0,H-(DELS)
Plot #15 ,8/23/1991,0,H-(DELS)
Plot #15 ,8/24/1991,0,H-(DELS)
Plot #15 ,8/25/1991,0,H-(DELS)
Plot #15 ,8/26/1991,0,H-(DELS)
Plot #15 ,8/27/1991,1,H-(DELS)
Plot #15 ,8/28/1991,0,H-(DELS)
Plot #15 ,8/29/1991,0,H-(DELS)
Plot #15 ,8/30/1991,1,H-(DELS)
Plot #15 ,8/31/1991,2,H-(DELS)
Plot #15 ,9/1/1991,1,H-(DELS)
Plot #15 ,9/2/1991,0,H-(DELS)
Plot #15 ,9/3/1991,0,H-(DELS)
Plot #15 ,9/4/1991,1,H-(DELS)
Plot #15 ,9/5/1991,0,H-(DELS)
Plot #15 ,9/6/1991,0,H-(DELS)
Plot #15 ,9/7/1991,0,H-(DELS)
Plot #15 ,9/8/1991,0,H-(DELS)
Plot #15 ,9/9/1991,1,H-(DELS)
Plot #15 ,9/10/1991,0,H-(DELS)
Plot #15 ,9/11/1991,0,H-(DELS)
Plot #15 ,9/12/1991,1,H-(DELS)
Plot #15 ,9/13/1991,0,H-(DELS)
Plot #15 ,9/14/1991,0,H-(DELS)
Plot #15 ,9/15/1991,1,H-(DELS)
Plot #15 ,9/16/1991,0,H-(DELS)
Plot #15 ,9/17/1991,0,H-(DELS)
Plot #15 ,9/18/1991,0,H-(DELS)
Plot #15 ,9/19/1991,0,H-(DELS)
Plot #15 ,9/20/1991,0,H-(DELS)
Plot #15 ,9/21/1991,0,H-(DELS)
Plot #15 ,9/22/1991,0,H-(DELS)
Plot #15 ,9/23/1991,0,H-(DELS)
Plot #15 ,9/24/1991,0,H-(DELS)
Plot #15 ,9/25/1991,0,H-(DELS)
Plot #15 ,9/26/1991,2,H-(DELS)
Plot #15 ,9/27/1991,0,H-(DELS)
Plot #15 ,9/28/1991,0,H-(DELS)
Plot #15 ,9/29/1991,0,H-(DELS)
Plot #15 ,9/30/1991,0,H-(DELS)
Plot #15 ,10/1/1991,0,H-(DELS)
Plot #15 ,10/2/1991,1,H-(DELS)
Plot #15 ,10/3/1991,2,H-(DELS)
Plot #15 ,10/4/1991,0,H-(DELS)
Plot #15 ,10/5/1991,2,H-(DELS)
Plot #15 ,10/6/1991,1,H-(DELS)
Plot #15 ,10/7/1991,1,H-(DELS)
Plot #15 ,10/8/1991,1,H-(DELS)
Plot #15 ,10/9/1991,1,H-(DELS)
Plot #15 ,10/10/1991,1,H-(DELS)
